Sir Ben Ainslie
Sir Peter Blake
Russell Coutts
Dennis Conner
Ted Turner
Eric Tabarly
John Bertrand
Shirley Robertson
Franck Cammas
Dean Barker
Paul Elvstrøm
Torben Grael
Santiago Lange
Chris Dickson
Jimmy Spithill
Ellen MacArthur
Nathan Outteridge
Ferdinand Magellan
Sir Francis Drake
Christopher Columbus
James Cook
Vasco da Gama
Horatio Nelson
Francis Chichester
Joshua Slocum
Robin Knox-Johnston
Isabelle Autissier
Jean-Luc Van Den Heede
Thomas Cavendish
Abel Tasman
William Bligh
Henry Hudson
Bartolomeu Dias
John Cabot
